id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
3888539,5,"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",1.0,1.0,1.0,1.0,0.0,0.9577482139649046,0.74,0.7567011941565619,0.8476448853252555,0.0
3888591,5,Очень оперативно и никуда не пришлось ходить.,1.0,0.0,0.0,1.0,0.0,0.92,0.01,0.12,0.7871485429992893,0.0
3888606,5,Проблема решена.,0.0,0.0,0.0,1.0,0.0,0.0018127945755015847,0.01158127943079581,0.02052974755959127,0.9895761997471998,0.08098863756735486
3888633,5,Очень оперативно отреагировали! Спасибо!,1.0,0.0,0.0,1.0,0.0,0.95,0.09,0.022215923730997168,0.8268704634282524,0.0
3888794,5,"оперативно, качественно, вопросов не возникло. Спасибо.",1.0,1.0,0.0,1.0,0.0,0.9304469273743017,0.7802486772486773,0.11612239748854854,0.7328678444421161,0.0
3888811,5,Быстро!,1.0,0.0,0.0,0.0,0.0,0.7631069512003628,0.0,0.49068289423637496,0.0,0.0
3888828,5,Благодарю за оперативность!,1.0,0.0,0.0,0.0,0.0,0.8744274370273594,0.0,0.008196032116037923,0.21849013954824958,0.01114504947237178
3889213,5,спасибо за оперативное решение проблемы. ,0.0,1.0,0.0,0.0,1.0,0.4566033509766989,0.5018720026163818,0.0,0.0,0.5612942547197413
3889473,1,Оперативная работа,0.0,1.0,0.0,1.0,0.0,0.04369270466207161,0.5705113251947811,0.4620181374163159,0.7972326323172692,0.3124501993075371
3889502,5,"оперативное решение проблемы! 
",0.0,1.0,0.0,0.0,1.0,0.4566033509766989,0.5018720026163818,0.0,0.0,0.5612942547197413
3889542,5,Первый раз вы решили вопрос быстро ,1.0,0.0,0.0,0.0,0.0,0.8674666666666667,0.019644110275689224,0.01,0.17625477875606418,0.1024954084930288
3889737,1,Надолго ли,0.0,0.0,0.0,0.0,1.0,0.0021360523468570447,0.006643354422765375,0.012482522255631772,0.04068477454767401,0.9696129410288552
3889783,5,отлично спасибо ,0.0,0.0,0.0,1.0,0.0,0.0,0.3843520096306279,0.0019496712763545673,0.9983412140575081,0.004439560439560441
3889827,5,"спасибо большое, Татьяна.",0.0,0.0,1.0,0.0,0.0,0.003587315253264457,0.004193548387096774,0.9643662271341191,0.045592981989595105,0.0
3889866,5,спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3889956,5,Лучший мастер на свете 🥰Спасибо большое 🙏,0.0,0.0,1.0,0.0,0.0,0.020556660039761435,0.04106884057971014,0.97,0.15105941351412222,0.005941176470588236
3890030,5,"Спасибо большое, что починили домофон. ",0.0,0.0,0.0,1.0,0.0,0.005983724157752459,0.04570220838650412,0.10811745659476686,0.8248247182802987,0.026215648592123723
3890209,5,Отличная работа,0.0,1.0,0.0,1.0,0.0,0.04369270466207161,0.5705113251947811,0.4620181374163159,0.7972326323172692,0.3124501993075371
3890231,5,Спасибо огромное за помощь!,0.0,0.0,1.0,1.0,0.0,0.011264742944690726,0.01491803629515494,0.5717967506220897,0.5427901718524686,0.019182159815010428
3890239,5,"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",0.0,0.0,0.0,0.0,0.0,0.38702153423803387,0.11836583482940605,0.3133108006051028,0.4803496198004712,0.15776371536630138
3890275,5,отличная работа. теперь дверь закрывается плавно. спасибо. ,0.0,1.0,0.0,1.0,0.0,0.01497192485972719,0.9228679647548962,0.07470038288393573,0.9473768985631723,0.05331524581011057
3890303,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3890389,5,спасибо большое ,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3890393,5,Все супер быстро! Спасибо! ,1.0,0.0,0.0,0.0,0.0,0.9441716247931027,0.0,0.019517156845675444,0.1186176599794992,0.0
